condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
L0_combined,0,[21573],1,0.6201395812562313,0.09970089730807485,0.8230792389741028,-0.00046773971290692273,9,2
L3_combined,3,[25064],1,0.6190001424298534,-0.014242985329715463,0.8223601360324483,-0.0011868426545614819,10,11
L15_combined,15,[30462],1,0.6207093006694203,0.15667283862698111,0.8144550064500125,-0.009091972236997314,51,40
L16_combined,16,"[21747, 6093, 6986, 21931]",4,0.6246973365617433,0.5554764278592805,0.6584752166398904,-0.16507176204711937,126,87
L17_combined,17,"[8130, 13218, 22869]",3,0.6258367753881213,0.669420310497082,0.6908726973826295,-0.1326742813043803,135,88
L18_combined,18,"[10969, 2618, 22061]",3,0.6282580828941746,0.9115510611024114,0.5381462722496758,-0.28540070643733395,217,153
L19_combined,19,"[16897, 20087, 5267]",3,0.6237003275886626,0.4557755305512057,0.6931230026530931,-0.13042397603391664,85,53
L20_combined,20,"[28843, 32003]",2,0.6255519156815268,0.6409343398376288,0.6992348199127262,-0.12431215877428359,119,74
L21_combined,21,"[18562, 29779, 8518, 28108, 23211]",5,0.6268337843612021,0.7691212078051568,0.6692196823551734,-0.1543272963318364,152,98
L22_combined,22,"[29763, 16994, 8083, 7393, 5692]",5,0.6299672411337416,1.082466885059108,0.5127860443342369,-0.31076093435277286,244,168
L23_combined,23,"[4837, 10086, 13628, 17464, 731]",5,0.6255519156815268,0.6409343398376288,0.46198390159655417,-0.3615630770904556,226,181
L24_combined,24,"[18192, 29371, 27356]",3,0.6269762142144993,0.7833641931348834,0.4367989428127485,-0.38674803587426126,249,194
L25_combined,25,"[9670, 25415, 8653]",3,0.6255519156815268,0.6409343398376288,0.6653635539402984,-0.15818342474671132,135,90
L26_combined,26,"[14351, 23375, 276, 1137]",4,0.6248397664150406,0.5697194131890071,0.4731645065974099,-0.3503824720895999,178,138
L27_combined,27,"[13272, 13231, 4360, 31449]",4,0.6256943455348241,0.6551773251673554,0.40378859195255307,-0.4197583867344567,271,225
L28_combined,28,"[7037, 5890]",2,0.623415467882068,0.42728955989175255,0.7490901689213859,-0.07445680976562385,87,57
L29_combined,29,"[13931, 9092]",2,0.6218487394957983,0.27061672126478253,0.8090905163111742,-0.014456462375835533,44,25
L30_combined,30,"[8867, 28950]",2,0.6177182737501781,-0.14242985329724345,0.7959513771959209,-0.02759560149108886,30,40
L31_combined,31,"[28707, 16986]",2,0.6184304230166643,-0.07121492664862172,0.81651204735905,-0.007034931327959737,24,29
all_layers_combined,all,"{0: [21573], 3: [25064], 15: [30462], 16: [21747, 6093, 6986, 21931], 17: [8130, 13218, 22869], 18: [10969, 2618, 22061], 19: [16897, 20087, 5267], 20: [28843, 32003], 21: [18562, 29779, 8518, 28108, 23211], 22: [29763, 16994, 8083, 7393, 5692], 23: [4837, 10086, 13628, 17464, 731], 24: [18192, 29371, 27356], 25: [9670, 25415, 8653], 26: [14351, 23375, 276, 1137], 27: [13272, 13231, 4360, 31449], 28: [7037, 5890], 29: [13931, 9092], 30: [8867, 28950], 31: [28707, 16986]}",55,0.6301096709870389,1.0967098703888345,0.2048341267359931,-0.6187128519510167,328,251
